#Table1
ra,z
42.416641,0.02783512
229.63732,0.02784701
329.10849,0.02785537
29.769363,0.02792212
328.17707,0.0279361
41.681637,0.02798516
311.8363,0.02799912
311.88733,0.02805771
42.570235,0.0280766
348.26639,0.02810148
38.20326,0.02811004
348.44734,0.02813493
312.10019,0.0281365
348.3395,0.02818544
221.07654,0.02818687
42.560683,0.02818862
42.206833,0.0281895
42.416513,0.02823339
41.15293,0.02827946
210.3359,0.02828324
27.984654,0.02829462
173.61098,0.0283281
175.31141,0.02833494
157.76982,0.02834717
168.868,0.02835528
42.505614,0.02837887
41.295846,0.02843099
48.187024,0.02845118
44.320174,0.02845329
134.61916,0.02846352
230.8823,0.0285162
134.5234,0.0285575
48.313186,0.02855879
41.646012,0.02862597
173.66312,0.02865805
221.07439,0.02868249
42.632812,0.02887088
44.461407,0.02892067
221.07872,0.02893496
242.71981,0.02894331
43.15967,0.02894603
235.83544,0.02914077
43.945472,0.02915561
48.250192,0.02916371
44.227721,0.02917473
173.84702,0.02917559
235.77163,0.02918951
48.249682,0.02921387
159.09347,0.02922927
209.39924,0.029266
173.79735,0.02929192
232.82189,0.02930095
326.44351,0.02933908
218.90933,0.02934744
198.18717,0.02937867
325.30988,0.02949021
185.16542,0.02951393
42.04887,0.02953961
171.3441,0.029541
332.59384,0.029635
314.21116,0.02963729
314.28662,0.02970133
349.77897,0.02973726
46.256881,0.0297431
313.6351,0.02982493
208.68607,0.02983897
324.36737,0.02984072
8.7871955,0.02984953
219.16096,0.02986431
322.57761,0.02989827
208.42832,0.02990131
208.68558,0.02990138
313.62688,0.02993406
313.88582,0.02993551
46.254748,0.02994265
46.293139,0.02997509
127.05306,0.03001933
208.70444,0.03003188
322.97412,0.03007128
349.45292,0.0300955
46.259461,0.03011695
322.74944,0.03013524
323.04623,0.03020861
8.7856076,0.03022247
313.67074,0.03023948
313.09325,0.03024343
322.47476,0.03026714
145.14599,0.03029145
322.74811,0.03031024
313.00543,0.03031971
208.4357,0.03033432
322.39053,0.03034567
54.072678,0.03043168
349.63049,0.03045937
54.742259,0.0305194
243.23696,0.03052526
216.81879,0.03055737
18.892882,0.03056086
56.731483,0.03064851
6.8603625,0.03066745
146.29988,0.03070351
146.35579,0.03073909
243.58319,0.03081088
56.241177,0.03085403
243.23676,0.0308672
322.14571,0.03088105
320.81878,0.03089259
56.241822,0.03090052
322.23276,0.03091305
46.170239,0.03093105
44.994619,0.03104547
241.8065,0.03107078
6.8411595,0.03111963
166.67167,0.03112363
46.170012,0.03114488
57.651802,0.0311684
326.67618,0.03121558
224.88436,0.03122634
316.2707,0.03124211
23.986127,0.03130881
46.214983,0.03135736
319.10586,0.03136951
166.44427,0.031374
46.359703,0.03145157
240.37005,0.0315293
321.45453,0.03153562
46.213054,0.03155037
241.81792,0.03157403
350.00092,0.03159779
215.61509,0.03167036
240.29272,0.03171449
237.23195,0.03188351
242.22591,0.03189712
318.29996,0.03196251
150.31873,0.03218562
38.17816,0.03225034
53.110916,0.03227355
239.84325,0.03229691
347.14213,0.03238297
348.35856,0.03239954
150.71701,0.03245946
158.31342,0.03250533
236.75985,0.03252864
237.34485,0.03260085
331.05302,0.03260972
150.301,0.03264355
351.15409,0.03264994
150.359,0.03266715
150.31918,0.03270648
150.23171,0.03274609
209.69179,0.03281121
237.39219,0.03282416
320.30371,0.03282649
318.75893,0.03282701
150.47062,0.03283051
36.991004,0.03285982
4.2288197,0.03288747
150.49028,0.03290842
332.50451,0.03293002
319.69006,0.03296535
318.75156,0.03298767
4.2809328,0.03309973
226.74009,0.03315733
319.91975,0.03322398
332.97048,0.03329295
351.2534,0.03342106
321.35246,0.03345399
31.910234,0.03346976
332.95134,0.03347958
349.51785,0.03352524
351.25115,0.03357807
39.665042,0.03359427
237.17914,0.03365153
219.67913,0.03369356
184.51375,0.03386848
221.01455,0.03386968
40.575469,0.03391259
156.72126,0.03392197
351.2659,0.03392394
351.25769,0.0339721
351.25708,0.03415802
229.36383,0.03423896
221.02719,0.03429344
335.92362,0.0343566
150.64775,0.03437575
203.35957,0.03439873
51.981185,0.03441854
41.688084,0.03446132
203.85836,0.03448889
10.206238,0.03450039
157.17812,0.03452292
352.83486,0.03455221
37.475043,0.03456667
10.20516,0.03464755
200.46629,0.03465883
9.2954228,0.03469877
353.01652,0.0347338
223.71556,0.0348701
182.13044,0.03487337
9.324679,0.03489659
157.444,0.03501128
343.74192,0.03501352
50.95692,0.03509693
182.4712,0.03513367
240.44594,0.03529574
321.43968,0.03530238
50.982345,0.03537514
149.41685,0.03540421
149.06118,0.03541203
41.120829,0.03548213
50.809941,0.03550179
226.83675,0.03557758
48.044726,0.0356506
50.943136,0.03571209
357.71954,0.0357307
50.741669,0.03573701
50.69618,0.03575455
50.933978,0.03588938
57.047894,0.0359273
50.808049,0.03594876
52.996632,0.03603431
47.711161,0.03604222
50.55303,0.03605624
50.940125,0.03607829
56.494274,0.0361664
57.04707,0.03616738
56.449928,0.03617334
5.643192,0.03620255
355.30098,0.03621548
355.29999,0.03621683
214.6921,0.03622841
50.317951,0.03625837
202.04986,0.03627707
50.657059,0.0362815
41.636638,0.03629236
41.578041,0.03630261
47.980673,0.0363405
53.811264,0.03636365
50.814889,0.03637505
33.490474,0.03644243
50.041496,0.03645528
51.114962,0.03647713
48.182306,0.03648683
55.294388,0.03649278
355.02186,0.03653016
38.546745,0.03660528
180.89626,0.03661502
55.266022,0.03662768
52.323822,0.03663912
355.95675,0.03665402
145.72946,0.03669919
146.05733,0.03673035
355.49155,0.03674616
52.279715,0.03677583
355.86777,0.03677846
51.014148,0.03681843
132.57563,0.03682305
356.18903,0.03688483
49.940122,0.03692121
132.38664,0.03693151
47.925897,0.03694097
47.956237,0.03696011
52.480002,0.03697417
51.112164,0.03697948
356.32895,0.03698095
199.51455,0.03701136
18.25823,0.03701578
355.49259,0.03702404
48.081844,0.03706102
358.83185,0.0370828
52.434455,0.03709427
52.461802,0.03709515
48.069481,0.03709524
56.252393,0.0371107
356.24944,0.0371154
47.609885,0.03712623
358.59555,0.03712713
54.886055,0.03714892
337.42892,0.03724564
168.31,0.03726012
47.971979,0.03728539
358.13493,0.03729185
232.07316,0.03732826
229.16229,0.0373337
50.035577,0.0373595
356.24825,0.03736011
48.221403,0.03742414
56.61409,0.03748979
50.152304,0.03751268
47.891564,0.03752477
232.09698,0.03754547
47.611881,0.03756557
56.202044,0.03756642
56.289353,0.03759253
48.037998,0.03759672
48.249774,0.03760283
47.842347,0.03760464
336.508,0.03761014
56.489655,0.03761035
47.847481,0.03761233
48.010375,0.03761692
47.985128,0.03763117
232.07328,0.03763708
47.792994,0.03764548
233.51568,0.03769352
56.61528,0.03769922
228.3689,0.03771064
48.139875,0.03774066
232.97695,0.03777701
48.226547,0.0378898
168.3276,0.03789052
232.06725,0.03789909
48.123184,0.03790472
47.959405,0.03793205
58.267418,0.03794971
232.07475,0.0379505
51.677379,0.03795316
48.325436,0.03798428
54.954533,0.03799384
54.650346,0.03804282
47.975544,0.03805646
48.035721,0.03810358
38.974998,0.03812895
165.15011,0.03815033
44.106895,0.03816041
233.27236,0.03816461
233.56596,0.03819076
43.847594,0.03823199
161.49685,0.03825257
338.56864,0.03827372
48.06577,0.038297
48.382236,0.03832455
48.028619,0.03833587
48.121142,0.03833912
163.25815,0.03834658
6.573542,0.03834917
227.80513,0.03837287
226.91385,0.0383857
338.10071,0.03841377
163.96631,0.03850097
333.75314,0.03851009
2.66515320000002,0.0385416
338.08114,0.03854819
37.205966,0.03856652
164.13266,0.03861022
4.0450081,0.03863693
198.42827,0.03863989
2.754629,0.03868406
46.021066,0.03873811
18.82299,0.03874192
338.01501,0.03874867
2.5456963,0.03878711
162.08271,0.03879983
338.00631,0.03880322
2.6639604,0.03880997
48.530647,0.03886934
3.2319399,0.03888266
168.95761,0.03890612
338.03026,0.03894215
2.631166,0.03896306
3.312242,0.03897336
234.23808,0.03903611
229.70829,0.03904339
3.1020761,0.03910198
3.757449,0.0391318
168.38445,0.03917455
58.776538,0.03918096
168.3406,0.03920615
338.08865,0.03923551
3.1583782,0.03929873
339.15706,0.03930955
198.4486,0.03931212
169.19601,0.03931824
3.3352921,0.03933256
4.543627,0.0393488
18.963931,0.03935234
337.94289,0.03935264
168.36645,0.03937292
161.7671,0.03937567
229.92333,0.03942726
168.29428,0.03947879
204.10398,0.03948652
3.1404387,0.03949318
168.2701,0.0395609
239.14195,0.0395749
337.84341,0.03959788
168.27163,0.03963597
3.1440707,0.03966025
239.11476,0.03968028
4.8210542,0.03968115
3.3445006,0.03968654
3.247357,0.03969605
3.1669489,0.03971508
3.182361,0.0397232
232.59334,0.0397381
348.2584,0.03975359
3.317961,0.03975825
168.47863,0.03980287
172.99427,0.0398448
3.16615180000002,0.03987239
4.3471432,0.03987924
172.12635,0.03990258
349.52573,0.03992674
168.27571,0.03995032
51.519547,0.03997536
4.8218954,0.03999072
161.71525,0.04001037
171.91224,0.04001609
169.83995,0.04006331
2.9560652,0.04007171
172.86591,0.04011256
171.41658,0.04012571
56.69595,0.04014718
161.79985,0.04016168
225.49433,0.04019753
184.18922,0.04027047
37.990138,0.04028382
327.6286,0.0402983
56.75885,0.04032098
222.51551,0.04034282
181.19287,0.04043046
56.92715,0.04045511
6.819541,0.04047568
182.23167,0.0404892
183.97349,0.04050813
3.0743046,0.04051938
336.97469,0.0405351
35.683622,0.04054559
135.59545,0.0405562
336.98892,0.04055702
168.24422,0.04056322
43.832413,0.04065051
225.45457,0.04065491
225.4201,0.04066654
168.31579,0.04069892
238.53215,0.04070121
170.63028,0.04074237
34.705467,0.04075661
239.51494,0.04077013
182.09802,0.04077477
225.37278,0.04078639
225.5249,0.04079574
51.033478,0.04089205
14.756431,0.04092283
225.4385,0.04093848
43.772201,0.04096524
36.64091,0.04096919
30.214303,0.04097398
197.68629,0.04100105
34.704051,0.04100869
47.921723,0.04100957
197.72295,0.04104793
18.67612,0.04107033
43.707889,0.04109474
6.415407,0.04115787
9.622347,0.04117377
222.41492,0.04118289
43.885522,0.04124186
197.68136,0.04125679
240.82885,0.04129273
48.371638,0.04137451
42.656179,0.04137651
240.86912,0.04142144
55.960896,0.04145302
29.398827,0.0414764
18.734429,0.04148681
240.88283,0.04149128
36.971527,0.04150382
187.76314,0.04150943
30.745,0.04151226
6.413917,0.04151692
43.707043,0.04154794
6.579962,0.0415921
225.55681,0.04160169
15.038137,0.04165085
9.5755273,0.04165298
9.6172127,0.04166212
343.31871,0.04174913
6.4363651,0.04175597
353.99403,0.04175615
32.532711,0.04180128
