#Table1
ra,dec,z
144.42125,47.143236,0.001027238
166.66635,44.527276,0.00102724
135.34891,26.3201,0.001027331
25.6142,-9.443317,0.001027355
170.75765,52.054594,0.001027359
190.89261,-8.646036,0.001027487
140.36181,-2.0774808,0.001027491
7.5197761,30.0278,0.001027494
262.88631,7.790574,0.001027494
191.1239,-8.880101,0.00102754
210.20656,-10.66013,0.001027603
143.10673,15.829338,0.001027607
142.89294,-0.95121263,0.00102761
347.30579,21.402209,0.001027651
140.99584,52.548104,0.001027695
151.79964,50.089094,0.001027782
136.95962,16.553845,0.00102781
0.831364800000017,-8.4384359,0.001027836
188.34571,1.9441969,0.001027881
17.213515,34.093376,0.001027881
142.54276,29.511437,0.001027911
194.82461,18.724116,0.001027964
183.06158,0.3431188,0.001027993
142.14243,-0.68641104,0.001028016
173.85565,-0.32983636,0.0010281
140.48274,-0.89236839,0.001028136
136.96905,6.9980682,0.001028275
261.93149,34.912797,0.001028278
151.82302,-1.8607717,0.001028288
115.11464,46.687591,0.00102831
122.51307,-7.721083,0.001028352
135.23293,0.024013961,0.001028355
146.55292,16.814172,0.001028367
144.15048,31.339366,0.001028376
165.82317,3.1592684,0.001028378
167.27102,2.9143868,0.001028424
117.50146,29.169683,0.001028498
117.03395,15.250525,0.001028518
141.0849,14.507186,0.001028538
199.18807,-0.85185895,0.00102867
123.60007,32.15245,0.001028677
152.4484,29.662677,0.001028683
202.24062,65.332271,0.001028753
124.26391,1.257259,0.001028762
161.95516,28.250307,0.001028825
165.17507,-0.26336324,0.001028838
125.43863,45.989836,0.001028867
147.46859,45.101181,0.001028887
183.85058,-0.73541087,0.001028914
183.23864,-2.2174094,0.001028924
28.707532,22.150935,0.001028925
150.95459,40.446169,0.001028939
112.41322,31.136442,0.001028943
355.88113,0.5251326,0.001029038
157.93374,18.332544,0.001029081
351.25438,24.227624,0.001029106
117.13974,29.715738,0.001029132
25.583083,18.957433,0.001029145
190.60319,8.983296,0.001029196
162.98275,-1.171487,0.001029199
127.44624,49.559348,0.001029214
126.03496,25.412573,0.001029223
131.28392,24.272869,0.001029233
153.0658,17.581676,0.001029265
51.880724,0.296026,0.001029291
141.28629,35.230047,0.001029346
119.83754,-0.54915889,0.001029351
161.34448,52.974046,0.001029383
56.714077,0.64857747,0.001029417
153.90299,37.960155,0.001029436
155.11173,3.0523128,0.001029468
353.51293,47.989092,0.001029486
149.56142,-2.8300574,0.001029494
174.32048,-0.34375994,0.001029507
149.21617,12.68812,0.001029573
139.72939,-0.14080076,0.001029584
198.75621,1.7423409,0.001029796
235.02921,45.514383,0.001029825
139.78666,33.411651,0.001029848
142.85759,7.896156,0.001030088
186.14671,-0.30253943,0.001030106
140.86549,23.289074,0.001030118
141.13373,6.988295,0.001030198
30.777596,-5.5245994,0.001030238
172.13003,20.169423,0.001030378
209.13853,58.754482,0.001030395
186.70631,64.962138,0.001030463
150.18197,1.4769012,0.001030495
136.1426,6.5585591,0.001030557
192.53147,41.107531,0.001030636
244.89483,49.255008,0.001030674
161.71727,9.5767399,0.001030677
190.35158,31.500188,0.001030692
134.01513,10.731082,0.001030715
132.48563,11.818666,0.001030758
229.66856,59.292727,0.001030762
153.73391,16.797605,0.001030788
7.85312520000002,-1.8482168,0.001030817
139.45298,56.128736,0.001030821
240.50094,12.553144,0.001030834
151.44255,12.451638,0.001030896
151.73827,2.1068494,0.001030902
196.81964,47.394837,0.001030941
255.68372,22.596641,0.001030967
142.72063,7.744775,0.001030988
123.7866,27.728005,0.001031004
174.65878,19.904998,0.001031009
131.58561,4.4308104,0.001031053
210.94162,54.483846,0.001031152
55.143316,-0.56971737,0.001031209
222.88168,15.064522,0.001031224
121.73469,6.630385,0.001031224
174.38023,18.469422,0.001031233
159.44627,22.162488,0.00103125
156.34774,46.993311,0.001031302
285.51804,77.954854,0.001031321
40.636522,0.0802247,0.001031365
138.63649,28.142928,0.00103143
228.86815,58.154879,0.001031446
142.33971,14.800456,0.001031467
181.66021,1.254449,0.001031519
143.22328,46.052279,0.001031528
163.79649,-2.8576937,0.001031534
167.18227,-16.456038,0.001031564
156.59141,7.670768,0.001031583
112.57217,24.552912,0.001031603
118.50148,24.491746,0.001031623
80.048164,1.0768059,0.001031649
172.31814,10.807048,0.001031656
170.78771,13.625131,0.001031674
11.903157,15.27051,0.001031691
134.48305,3.036027,0.001031706
160.98747,14.738098,0.001031715
124.47432,20.76526,0.001031721
140.56553,61.719267,0.001031746
10.836773,0.99875869,0.00103176
125.01129,16.750471,0.00103185
123.77522,36.530615,0.001031859
6.6160357,15.067697,0.001031944
205.10638,27.877486,0.001031984
224.86114,21.997753,0.001031985
191.30541,6.4163051,0.001032081
160.69005,28.343707,0.001032099
132.4051,10.069064,0.001032101
126.20822,4.9605072,0.001032104
345.61075,32.728444,0.00103211
5.34752400000002,11.050985,0.001032116
122.87324,38.568144,0.001032161
161.21349,47.241979,0.001032193
140.77201,20.276123,0.001032222
121.88133,6.5875162,0.001032226
211.38425,54.459692,0.001032342
165.20635,14.654275,0.001032367
170.12462,-0.37058802,0.001032378
204.07827,8.7093191,0.001032519
343.8966,17.907527,0.001032542
167.08783,4.9553678,0.001032543
129.25895,5.4643382,0.001032545
337.83176,3.6245049,0.001032578
162.83865,29.358935,0.001032601
164.9193,2.7571611,0.001032632
131.89269,20.994496,0.001032653
171.55457,-7.66279,0.001032678
127.64361,39.050861,0.001032696
125.19428,17.075971,0.001032726
130.54501,22.167299,0.001032756
176.73251,-1.2808592,0.001032794
139.71347,15.308952,0.001032801
215.16505,34.097138,0.001032814
324.27499,-0.2816,0.001032822
177.78254,55.636354,0.001032832
165.63797,43.418239,0.001032852
9.63773620000001,26.855202,0.001032916
255.05417,45.234578,0.001032936
199.0662,8.1581683,0.001032965
156.17633,6.2114177,0.001032975
9.50861159999999,0.3716514,0.001032999
162.18159,28.496839,0.001033012
186.96358,35.280111,0.001033037
157.29553,0.18853566,0.001033079
158.43305,24.89628,0.001033117
122.65957,21.455215,0.001033166
155.78186,23.70581,0.001033181
137.80731,36.959201,0.001033188
322.27432,1.1788442,0.001033229
343.36448,-3.4778289,0.001033249
151.42399,-0.96367644,0.001033266
210.98937,40.534449,0.001033285
156.85285,29.116615,0.001033292
139.16128,7.8254257,0.00103334
145.4574,-2.3259167,0.001033369
143.17825,17.74814,0.001033394
